AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-16-2026_22-47-58,
Profile Duration:,60 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,22:47:58:863,   15.67,    1.22,    1.35,    1.03,    1.44,    1.28,    0.02
2,22:47:58:963,   17.49,    1.49,    1.59,    1.52,    1.80,    1.68,    0.01
4,22:47:59:170,   17.14,    1.31,    1.32,    1.06,    1.61,    1.63,    1.37
5,22:47:59:278,   17.74,    1.38,    1.60,    0.97,    1.48,    1.07,    1.58
6,22:47:59:386,   17.88,    1.13,    1.57,    1.18,    1.42,    1.23,    1.40
7,22:47:59:495,   15.89,    1.13,    1.17,    0.70,    1.37,    1.27,    1.53
8,22:47:59:602,   17.59,    1.45,    1.57,    1.28,    1.54,    1.00,    0.33
9,22:47:59:711,   20.01,    2.02,    1.78,    1.73,    2.14,    1.53,    0.10
10,22:47:59:811,   15.87,    1.53,    1.49,    0.58,    1.70,    2.00,    0.01
11,22:47:59:917,   18.30,    1.55,    1.64,    1.33,    1.56,    1.31,    1.22
12,22:48:0:026,   20.59,    2.26,    2.36,    1.66,    1.86,    1.39,    1.87
13,22:48:0:135,   21.46,    2.21,    2.16,    1.97,    1.90,    1.78,    1.64
14,22:48:0:235,   22.30,    2.08,    2.08,    1.87,    2.10,    2.23,    1.72
15,22:48:0:339,   22.87,    2.67,    2.31,    2.39,    2.12,    2.11,    2.06
16,22:48:0:439,   20.43,    1.87,    1.92,    1.66,    1.81,    2.54,    1.41
18,22:48:0:647,   17.48,    1.61,    1.88,    0.79,    1.68,    1.46,    0.02
19,22:48:0:747,   16.84,    1.38,    1.60,    0.94,    1.79,    1.69,    0.09
20,22:48:0:855,   15.90,    1.61,    1.76,    0.78,    1.40,    1.32,    0.01
21,22:48:0:963,   16.68,    1.78,    1.91,    0.02,    1.55,    1.11,    0.01
22,22:48:1:069,   19.29,    1.81,    1.92,    1.53,    1.78,    1.37,    0.74
23,22:48:1:176,   21.69,    2.20,    2.36,    1.95,    1.84,    1.77,    1.87
24,22:48:1:285,   19.57,    1.79,    1.95,    1.33,    1.95,    2.10,    1.36
25,22:48:1:390,   19.81,    1.92,    1.99,    1.41,    1.87,    1.69,    1.38
26,22:48:1:497,   26.26,    3.26,    2.64,    3.05,    1.84,    1.75,    2.96
27,22:48:1:603,   21.04,    2.26,    1.99,    2.11,    3.38,    3.44,    2.00
28,22:48:1:710,   18.60,    1.63,    1.58,    1.44,    2.34,    2.04,    1.51
29,22:48:1:810,   18.16,    1.37,    1.41,    1.04,    1.92,    1.54,    1.40
30,22:48:1:918,   17.11,    1.32,    1.50,    0.74,    1.42,    1.07,    1.02
31,22:48:2:026,   17.76,    1.86,    1.84,    0.63,    1.60,    1.24,    0.01
32,22:48:2:135,   17.43,    1.40,    1.55,    1.54,    2.21,    1.82,    0.02
33,22:48:2:244,   16.84,    1.50,    1.56,    0.18,    1.79,    1.47,    0.02
34,22:48:2:347,   16.57,    1.67,    1.73,    0.76,    1.79,    1.66,    0.02
36,22:48:2:551,   18.48,    1.83,    2.04,    1.55,    1.58,    1.67,    0.01
37,22:48:2:660,   16.67,    1.39,    1.43,    1.51,    1.60,    1.61,    0.03
38,22:48:2:766,   18.26,    1.40,    1.51,    1.41,    1.47,    1.42,    1.45
39,22:48:2:874,   16.72,    1.38,    1.42,    1.21,    1.46,    1.19,    0.82
40,22:48:2:982,   18.36,    1.87,    1.79,    1.43,    1.50,    1.31,    0.27
41,22:48:3:090,   18.44,    1.77,    1.67,    1.47,    1.56,    1.47,    1.69
42,22:48:3:197,   18.68,    1.88,    2.00,    1.39,    1.52,    1.40,    0.23
43,22:48:3:307,   17.59,    1.82,    1.75,    1.68,    1.54,    1.63,    0.01
44,22:48:3:413,   18.00,    1.99,    1.71,    1.20,    1.67,    1.69,    0.01
45,22:48:3:520,   21.27,    2.06,    1.92,    1.39,    1.81,    2.02,    0.42
46,22:48:3:626,   17.97,    1.58,    1.81,    2.06,    2.09,    2.31,    1.80
47,22:48:3:734,   18.99,    2.03,    1.44,    1.33,    1.60,    1.34,    0.71
48,22:48:3:835,   18.13,    1.88,    1.70,    1.53,    1.83,    1.63,    0.01
49,22:48:3:943,   17.90,    1.58,    1.46,    1.55,    1.61,    1.69,    0.94
50,22:48:4:049,   21.44,    1.96,    1.89,    1.55,    1.77,    1.43,    2.20
51,22:48:4:156,   20.25,    1.78,    1.87,    2.00,    1.79,    1.88,    2.01
52,22:48:4:265,   19.63,    1.84,    1.52,    1.68,    1.63,    2.14,    1.70
53,22:48:4:372,   16.58,    1.38,    1.28,    1.74,    1.51,    1.62,    1.27
54,22:48:4:478,   17.81,    1.46,    1.50,    1.05,    1.61,    1.29,    0.65
55,22:48:4:585,   17.16,    1.34,    1.43,    1.41,    1.63,    1.70,    1.39
56,22:48:4:692,   18.33,    1.48,    1.43,    0.96,    1.39,    1.13,    1.50
57,22:48:4:799,   17.11,    1.22,    1.30,    1.40,    1.65,    1.56,    0.62
58,22:48:4:908,   13.72,    1.16,    1.20,    1.45,    1.39,    1.23,    0.01
59,22:48:5:017,   17.29,    1.65,    1.73,    0.79,    1.13,    1.04,    0.01
60,22:48:5:126,   15.93,    1.48,    1.66,    1.48,    1.71,    1.21,    0.01
61,22:48:5:228,   14.92,    1.44,    1.51,    0.96,    1.67,    1.45,    0.01
62,22:48:5:333,   15.98,    1.52,    1.33,    0.01,    1.73,    1.38,    0.05
63,22:48:5:441,   13.98,    1.14,    1.22,    1.12,    1.39,    1.34,    0.02
64,22:48:5:549,   15.90,    1.50,    1.36,    1.06,    1.27,    1.21,    0.03
65,22:48:5:657,   15.87,    1.77,    1.69,    1.39,    1.51,    1.29,    0.02
66,22:48:5:756,   18.46,    1.87,    1.93,    0.66,    1.75,    1.55,    0.09
