AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-16-2026_22-29-26,
Profile Duration:,60 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,22:29:26:167,   15.94,    1.89,    1.71,    0.12,    1.79,    1.15,    0.03
2,22:29:26:274,   16.39,    1.47,    1.62,    1.41,    1.70,    1.33,    0.02
3,22:29:26:382,   15.95,    1.41,    1.50,    1.33,    1.52,    1.07,    0.01
4,22:29:26:490,   17.87,    1.68,    1.66,    1.53,    1.84,    1.49,    0.36
5,22:29:26:591,   14.65,    0.95,    1.18,    0.73,    1.33,    0.77,    1.34
6,22:29:26:698,   16.24,    1.42,    1.54,    0.70,    1.57,    1.27,    0.29
7,22:29:26:804,   16.21,    1.30,    1.64,    1.32,    1.46,    1.11,    0.01
9,22:29:27:018,   15.61,    1.29,    1.86,    0.04,    1.76,    1.06,    0.01
10,22:29:27:118,   14.87,    1.31,    1.91,    0.02,    1.79,    0.36,    0.01
11,22:29:27:219,   18.09,    1.90,    1.94,    0.07,    1.75,    1.80,    0.02
12,22:29:27:320,   18.85,    2.07,    1.99,    1.72,    2.17,    1.81,    0.04
13,22:29:27:429,   18.80,    2.01,    1.92,    1.63,    2.02,    1.73,    0.62
14,22:29:27:530,   20.59,    2.05,    2.21,    1.69,    1.71,    1.74,    1.79
15,22:29:27:637,   20.09,    2.11,    2.57,    1.66,    2.00,    2.15,    0.45
16,22:29:27:737,   17.04,    1.26,    1.45,    1.79,    2.36,    1.12,    0.08
17,22:29:27:843,   15.74,    1.28,    1.48,    1.22,    1.58,    1.19,    0.02
18,22:29:27:949,   15.76,    1.63,    2.00,    1.08,    1.71,    0.97,    0.03
19,22:29:28:058,   14.56,    1.24,    1.54,    0.06,    1.42,    1.35,    0.01
20,22:29:28:165,   13.63,    1.33,    1.57,    0.01,    1.42,    0.53,    0.01
21,22:29:28:274,   12.64,    1.08,    1.21,    0.02,    1.22,    0.91,    0.01
22,22:29:28:382,   14.52,    1.57,    1.66,    0.01,    1.76,    0.32,    0.05
23,22:29:28:487,   18.15,    2.04,    1.90,    0.01,    1.83,    1.69,    0.27
24,22:29:28:596,   20.00,    2.10,    2.02,    1.10,    1.80,    1.65,    1.61
25,22:29:28:696,   19.37,    1.92,    1.84,    1.68,    1.64,    1.64,    1.30
26,22:29:28:805,   18.97,    1.84,    1.86,    1.26,    2.00,    1.70,    1.24
28,22:29:29:015,   22.38,    2.53,    2.53,    2.68,    2.32,    2.43,    2.15
29,22:29:29:123,   16.27,    1.10,    1.34,    1.83,    2.00,    0.96,    1.19
30,22:29:29:229,   17.09,    1.51,    1.57,    0.94,    1.52,    1.22,    0.52
31,22:29:29:338,   15.87,    1.32,    1.50,    1.32,    1.52,    1.24,    0.01
32,22:29:29:437,   18.08,    1.95,    1.89,    0.84,    1.88,    1.76,    0.03
33,22:29:29:544,   16.28,    1.29,    1.59,    1.12,    1.73,    1.18,    0.01
34,22:29:29:651,   16.52,    1.32,    1.58,    1.00,    1.54,    1.24,    0.01
35,22:29:29:759,   16.14,    1.22,    1.34,    1.28,    1.52,    0.91,    0.98
36,22:29:29:868,   16.95,    1.28,    1.53,    0.87,    1.40,    1.07,    1.01
37,22:29:29:977,   15.98,    1.31,    1.58,    0.99,    1.58,    1.16,    0.02
38,22:29:30:078,   15.56,    1.47,    1.70,    1.25,    1.80,    1.41,    0.02
39,22:29:30:178,   15.22,    1.46,    1.77,    0.01,    1.65,    1.14,    0.02
40,22:29:30:286,   14.77,    1.41,    1.67,    0.01,    1.56,    0.97,    0.02
41,22:29:30:394,   16.28,    1.61,    1.73,    0.02,    1.62,    1.53,    0.01
42,22:29:30:502,   16.51,    1.46,    1.38,    0.54,    1.85,    1.43,    0.14
43,22:29:30:611,   17.07,    1.11,    1.34,    1.53,    1.74,    1.16,    1.74
44,22:29:30:719,   16.28,    1.18,    1.51,    1.18,    1.40,    0.95,    0.98
45,22:29:30:819,   14.81,    0.97,    1.27,    1.29,    1.52,    0.97,    1.17
46,22:29:30:926,   14.90,    1.41,    1.68,    0.67,    1.10,    0.50,    0.25
47,22:29:31:026,   18.38,    2.07,    2.11,    0.10,    1.82,    1.94,    0.23
48,22:29:31:135,   14.98,    0.93,    1.17,    1.46,    1.73,    0.86,    1.17
49,22:29:31:243,   14.19,    1.42,    1.42,    0.55,    1.18,    0.47,    0.27
50,22:29:31:342,   12.28,    0.95,    1.30,    0.05,    1.73,    0.89,    0.02
51,22:29:31:449,   15.74,    1.54,    1.77,    0.01,    1.05,    1.33,    0.02
52,22:29:31:550,   16.84,    1.86,    2.00,    0.03,    1.74,    1.61,    0.01
53,22:29:31:656,   15.17,    1.25,    1.49,    0.91,    1.56,    1.02,    0.04
54,22:29:31:756,   13.70,    1.06,    1.23,    1.05,    1.52,    0.87,    0.09
55,22:29:31:862,   14.13,    1.40,    1.51,    0.29,    1.09,    1.07,    0.01
56,22:29:31:970,   13.74,    1.25,    1.35,    0.01,    1.60,    1.14,    0.03
57,22:29:32:069,   12.94,    1.13,    1.26,    0.01,    1.29,    1.01,    0.01
58,22:29:32:178,   14.13,    1.26,    1.50,    0.04,    1.15,    1.07,    0.01
59,22:29:32:285,   13.28,    1.11,    1.25,    0.01,    1.52,    1.13,    0.03
60,22:29:32:393,   13.96,    1.29,    1.33,    0.02,    1.36,    1.02,    0.01
61,22:29:32:502,   16.75,    1.58,    1.77,    0.01,    1.59,    1.55,    0.01
62,22:29:32:609,   14.86,    1.12,    1.25,    0.89,    1.78,    1.16,    0.04
63,22:29:32:719,   15.40,    1.34,    1.52,    0.72,    1.65,    1.26,    0.06
64,22:29:32:827,   13.16,    0.95,    1.08,    0.31,    1.45,    0.95,    0.02
65,22:29:32:935,   15.12,    1.37,    1.52,    0.88,    0.91,    1.27,    0.02
66,22:29:33:043,   13.65,    1.20,    1.44,    0.22,    1.86,    0.97,    0.03
67,22:29:33:142,   13.25,    1.13,    1.29,    0.02,    1.23,    1.10,    0.05
68,22:29:33:246,   15.25,    1.49,    1.72,    0.05,    1.42,    0.98,    0.03
69,22:29:33:355,   12.41,    1.19,    1.28,    0.02,    1.58,    0.02,    0.01
70,22:29:33:462,   15.47,    1.51,    1.90,    0.02,    1.36,    1.02,    0.01
71,22:29:33:570,   15.50,    1.46,    1.65,    0.01,    1.94,    1.57,    0.03
72,22:29:33:669,   15.85,    1.57,    2.13,    0.02,    1.70,    1.27,    0.02
73,22:29:33:777,   16.74,    1.79,    1.93,    0.03,    1.59,    1.58,    0.07
74,22:29:33:880,   16.51,    1.84,    2.02,    0.02,    2.35,    1.75,    0.01
75,22:29:33:987,   18.49,    1.87,    2.34,    0.02,    1.96,    1.87,    0.05
76,22:29:34:086,   15.22,    1.19,    1.47,    1.13,    2.30,    1.07,    0.01
77,22:29:34:195,   18.83,    2.02,    2.22,    1.03,    1.40,    1.63,    0.01
78,22:29:34:301,   18.92,    1.87,    2.31,    1.64,    2.26,    1.61,    0.01
79,22:29:34:410,   17.12,    1.51,    2.38,    1.47,    2.13,    1.47,    0.01
80,22:29:34:517,   19.61,    1.92,    2.53,    1.33,    2.05,    1.77,    0.01
