AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-16-2026_23-07-10,
Profile Duration:,60 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,23:7:10:406,   13.69,    1.20,    1.43,    0.01,    1.46,    0.97,    0.06
2,23:7:10:515,   14.22,    1.20,    1.44,    0.01,    1.41,    1.27,    0.03
3,23:7:10:624,   14.46,    1.34,    1.50,    0.05,    1.56,    1.16,    0.01
4,23:7:10:728,   14.97,    1.44,    1.48,    0.77,    1.32,    1.10,    0.06
6,23:7:10:945,   14.51,    1.55,    1.45,    0.02,    1.55,    1.26,    0.03
7,23:7:11:054,   16.00,    1.50,    1.87,    0.01,    1.43,    1.65,    0.01
8,23:7:11:160,   14.62,    1.10,    1.31,    0.94,    1.73,    1.12,    0.01
9,23:7:11:268,   16.11,    1.48,    1.72,    0.74,    1.38,    1.47,    0.01
10,23:7:11:368,   13.99,    0.89,    1.23,    1.00,    1.94,    0.95,    0.05
11,23:7:11:467,   15.97,    1.84,    1.87,    0.38,    1.35,    1.55,    0.09
12,23:7:11:569,   19.70,    2.44,    1.70,    1.63,    1.81,    2.07,    0.72
13,23:7:11:677,   16.07,    1.27,    1.31,    1.07,    2.18,    1.03,    1.37
14,23:7:11:786,   19.77,    2.01,    2.12,    1.56,    1.56,    1.60,    1.53
