AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-16-2026_22-16-30,
Profile Duration:,180 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,22:16:30:606,   20.06,    2.19,    1.99,    2.00,    1.80,    2.11,    0.87
3,22:16:30:822,   18.74,    1.72,    1.96,    1.37,    1.64,    1.38,    2.34
4,22:16:30:929,   13.41,    0.88,    1.84,    0.33,    1.01,    0.53,    1.10
5,22:16:31:038,   12.39,    1.05,    1.09,    0.05,    1.18,    0.70,    0.05
6,22:16:31:138,   12.15,    1.04,    1.18,    0.01,    1.12,    0.65,    0.02
7,22:16:31:246,   12.80,    1.26,    1.31,    0.01,    1.39,    0.16,    0.01
8,22:16:31:356,   14.20,    1.15,    1.43,    0.01,    1.34,    0.91,    0.02
9,22:16:31:458,   16.36,    1.36,    2.03,    0.02,    2.77,    0.65,    0.01
10,22:16:31:558,   12.57,    1.03,    1.39,    0.04,    1.37,    0.95,    0.02
11,22:16:31:666,   12.25,    0.97,    1.16,    0.01,    1.18,    0.97,    0.06
12,22:16:31:774,   12.28,    1.25,    1.16,    0.03,    1.42,    0.29,    0.01
13,22:16:31:874,   15.69,    1.34,    1.32,    0.01,    1.84,    1.35,    0.01
14,22:16:31:981,   15.73,    1.26,    1.53,    0.02,    1.91,    0.96,    0.04
15,22:16:32:089,   11.83,    0.97,    1.97,    0.01,    0.84,    0.91,    0.01
16,22:16:32:189,   11.33,    0.91,    0.94,    0.02,    0.95,    0.76,    0.03
17,22:16:32:291,   13.45,    1.20,    0.93,    0.01,    1.21,    0.81,    0.01
18,22:16:32:400,   15.75,    1.13,    1.42,    0.03,    1.94,    1.44,    0.01
19,22:16:32:508,   13.67,    1.58,    2.08,    0.01,    1.39,    0.56,    0.02
20,22:16:32:615,   16.82,    2.00,    1.88,    0.52,    1.73,    1.54,    0.02
21,22:16:32:722,   14.95,    1.35,    2.21,    0.95,    1.30,    1.13,    0.04
22,22:16:32:827,   19.15,    2.31,    1.58,    1.04,    2.16,    2.33,    0.24
23,22:16:32:933,   19.42,    1.84,    2.17,    1.83,    1.85,    1.51,    1.31
24,22:16:33:038,   20.22,    2.28,    2.06,    1.90,    2.28,    1.90,    1.15
25,22:16:33:143,   20.92,    2.38,    2.55,    2.22,    2.54,    2.35,    2.11
26,22:16:33:253,   12.08,    0.96,    2.19,    0.12,    1.15,    0.80,    0.11
27,22:16:33:355,   14.05,    1.21,    1.07,    0.01,    1.41,    0.77,    0.01
28,22:16:33:463,   15.26,    1.40,    1.78,    0.01,    1.57,    0.94,    0.01
29,22:16:33:571,   14.53,    1.27,    2.09,    0.01,    1.39,    1.31,    0.04
30,22:16:33:679,   13.22,    1.08,    1.52,    0.65,    1.12,    0.95,    0.07
31,22:16:33:787,   13.41,    1.12,    0.89,    0.48,    1.21,    0.95,    0.01
32,22:16:33:896,   15.60,    1.14,    1.52,    0.36,    1.91,    1.26,    0.01
34,22:16:34:113,   12.23,    0.99,    1.66,    0.36,    1.20,    0.90,    0.03
35,22:16:34:220,   12.06,    1.24,    1.36,    0.14,    1.15,    0.09,    0.01
36,22:16:34:329,   12.60,    1.36,    1.28,    0.02,    1.40,    0.08,    0.01
37,22:16:34:437,   14.69,    1.12,    1.40,    0.01,    1.63,    0.90,    0.03
38,22:16:34:537,   14.60,    1.50,    2.58,    0.03,    1.34,    1.06,    0.02
39,22:16:34:643,   13.69,    1.22,    1.40,    0.01,    1.39,    1.04,    0.07
40,22:16:34:752,   12.89,    0.97,    1.40,    0.24,    1.14,    0.69,    0.01
41,22:16:34:860,   13.73,    1.16,    1.16,    0.54,    1.50,    0.85,    0.01
42,22:16:34:967,   14.96,    1.46,    1.51,    0.01,    2.48,    0.20,    0.01
43,22:16:35:075,   12.92,    1.08,    2.09,    0.01,    1.34,    0.73,    0.01
44,22:16:35:175,   12.46,    1.11,    1.14,    0.01,    1.29,    0.38,    0.01
45,22:16:35:285,   11.26,    1.03,    1.10,    0.02,    1.12,    0.01,    0.03
46,22:16:35:393,   13.83,    1.47,    1.07,    0.01,    2.25,    0.02,    0.02
47,22:16:35:501,   15.48,    1.65,    1.39,    0.03,    1.87,    0.40,    0.02
48,22:16:35:607,   13.96,    1.40,    1.99,    0.01,    1.63,    1.21,    0.01
49,22:16:35:707,   15.31,    1.50,    1.70,    0.21,    1.36,    1.01,    0.07
50,22:16:35:813,   14.33,    1.10,    1.45,    1.17,    1.36,    1.24,    0.01
51,22:16:35:921,   15.00,    1.01,    1.43,    0.54,    2.18,    0.88,    0.03
52,22:16:36:030,   14.60,    1.02,    1.24,    0.83,    1.70,    0.94,    0.02
53,22:16:36:138,   11.32,    0.94,    1.52,    0.40,    0.95,    0.72,    0.02
54,22:16:36:238,   12.09,    1.13,    0.99,    0.01,    1.21,    0.17,    0.01
55,22:16:36:345,   11.15,    1.04,    1.03,    0.01,    1.11,    0.01,    0.02
56,22:16:36:446,   14.60,    1.30,    1.29,    0.01,    2.34,    0.34,    0.01
57,22:16:36:553,   18.28,    2.10,    1.61,    0.01,    1.74,    1.93,    0.01
58,22:16:36:660,   12.89,    1.02,    2.41,    1.13,    1.25,    0.80,    0.08
59,22:16:36:769,   12.08,    0.93,    1.05,    0.51,    0.94,    0.75,    0.01
60,22:16:36:878,   13.86,    1.17,    1.30,    0.01,    1.24,    1.22,    0.03
61,22:16:36:986,   15.41,    0.96,    1.65,    0.02,    2.51,    1.00,    0.01
62,22:16:37:091,   12.80,    1.01,    1.74,    0.01,    1.03,    0.97,    0.03
63,22:16:37:198,   11.83,    1.11,    1.21,    0.01,    1.35,    0.04,    0.01
64,22:16:37:307,   11.08,    1.03,    1.16,    0.01,    1.06,    0.01,    0.01
65,22:16:37:407,   13.41,    1.45,    1.28,    0.01,    1.79,    0.01,    0.01
66,22:16:37:515,   16.14,    1.79,    1.17,    0.01,    1.70,    0.81,    0.01
67,22:16:37:621,   13.86,    1.43,    2.70,    0.01,    1.45,    1.34,    0.01
68,22:16:37:731,   12.14,    0.91,    1.32,    0.19,    1.08,    0.54,    0.08
69,22:16:37:837,   14.53,    1.03,    1.12,    0.55,    1.21,    1.04,    0.04
70,22:16:37:945,   16.17,    1.56,    1.57,    0.75,    1.45,    1.06,    0.01
71,22:16:38:045,   12.88,    1.31,    2.35,    0.38,    1.32,    0.91,    0.03
72,22:16:38:151,   12.18,    1.24,    1.16,    0.01,    1.06,    0.78,    0.01
73,22:16:38:260,   11.67,    1.09,    1.01,    0.01,    0.77,    0.38,    0.01
74,22:16:38:367,   13.13,    1.48,    1.13,    0.01,    1.42,    0.01,    0.01
75,22:16:38:475,   15.79,    2.31,    1.52,    0.01,    1.90,    0.03,    0.04
76,22:16:38:575,   18.07,    2.22,    2.66,    0.02,    1.96,    1.77,    0.01
77,22:16:38:682,   14.46,    1.00,    2.12,    0.44,    1.46,    1.22,    0.08
78,22:16:38:788,   14.69,    1.39,    1.29,    1.27,    1.48,    1.52,    0.01
79,22:16:38:897,   15.50,    1.33,    1.46,    0.22,    1.86,    1.68,    0.01
80,22:16:39:000,   17.89,    1.92,    1.77,    0.01,    2.43,    1.71,    0.03
81,22:16:39:101,   14.19,    1.58,    2.05,    0.01,    1.85,    0.03,    0.02
82,22:16:39:210,   12.41,    1.50,    1.95,    0.01,    1.62,    0.01,    0.01
83,22:16:39:319,   13.18,    1.69,    1.47,    0.01,    1.64,    0.13,    0.02
84,22:16:39:427,   12.87,    1.15,    1.57,    0.01,    1.24,    1.02,    0.01
85,22:16:39:536,   15.13,    1.72,    1.30,    0.05,    1.45,    1.81,    0.01
86,22:16:39:644,   16.77,    1.89,    1.68,    0.02,    1.61,    1.64,    0.01
87,22:16:39:750,   15.53,    1.41,    2.50,    0.01,    1.70,    1.44,    0.09
88,22:16:39:857,   13.98,    1.48,    2.36,    0.02,    1.57,    1.40,    0.01
89,22:16:39:963,   15.05,    1.56,    1.50,    0.01,    1.62,    1.30,    0.01
90,22:16:40:070,   18.44,    2.28,    1.55,    0.03,    2.44,    1.93,    0.04
91,22:16:40:177,   19.19,    1.94,    2.11,    0.36,    2.25,    1.75,    0.64
92,22:16:40:282,   16.63,    1.39,    2.07,    1.74,    2.02,    1.12,    1.17
