AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-20-2026_04-08-26,
Profile Duration:,900 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,4:8:26:735,   20.30,    2.14,    2.65,    2.45,    2.50,    1.80,    0.37
2,4:8:26:835,   18.79,    1.51,    2.09,    1.64,    1.85,    1.34,    1.78
3,4:8:26:944,   18.07,    1.58,    1.64,    1.78,    2.27,    1.60,    0.67
4,4:8:27:052,   18.27,    2.24,    2.26,    1.58,    1.77,    1.74,    0.33
5,4:8:27:157,   18.18,    1.66,    1.89,    1.58,    1.52,    1.38,    1.85
6,4:8:27:257,   16.68,    1.21,    2.02,    1.67,    1.76,    1.22,    0.65
7,4:8:27:357,   18.93,    2.07,    2.63,    1.51,    2.01,    1.69,    0.69
8,4:8:27:459,   17.71,    1.27,    2.19,    1.58,    1.92,    0.82,    1.30
9,4:8:27:559,   18.35,    1.78,    2.31,    1.58,    2.18,    1.60,    0.79
10,4:8:27:663,   19.23,    1.78,    2.26,    1.12,    2.17,    1.81,    1.70
11,4:8:27:769,   19.49,    2.26,    2.55,    1.50,    2.35,    2.18,    0.59
12,4:8:27:869,   22.06,    2.54,    2.77,    2.56,    2.53,    2.40,    1.44
13,4:8:27:976,   20.75,    2.23,    2.72,    1.81,    2.61,    2.00,    1.52
14,4:8:28:081,   23.07,    2.70,    3.00,    2.48,    2.50,    2.62,    2.09
15,4:8:28:182,   22.77,    2.50,    3.11,    2.14,    2.66,    2.36,    2.08
16,4:8:28:287,   22.24,    2.52,    2.90,    2.08,    2.70,    2.53,    1.84
17,4:8:28:387,   22.95,    2.67,    2.96,    2.51,    3.07,    2.48,    1.13
18,4:8:28:489,   24.81,    2.83,    3.06,    2.61,    3.03,    2.57,    2.54
19,4:8:28:594,   23.03,    2.81,    2.92,    2.59,    2.72,    2.59,    2.44
20,4:8:28:704,   20.91,    2.05,    2.42,    1.50,    2.48,    2.27,    1.45
21,4:8:28:805,   19.68,    2.22,    2.49,    1.80,    2.48,    1.47,    1.76
22,4:8:28:912,   22.16,    2.93,    2.90,    2.08,    2.61,    2.29,    0.43
23,4:8:29:021,   19.68,    2.12,    2.54,    1.17,    2.18,    1.70,    1.53
24,4:8:29:121,   19.79,    2.15,    2.35,    1.30,    2.46,    1.99,    1.52
25,4:8:29:226,   18.85,    1.64,    2.62,    1.15,    2.87,    1.52,    1.57
26,4:8:29:327,   18.95,    1.80,    2.81,    1.11,    2.40,    1.37,    1.60
27,4:8:29:427,   21.19,    1.85,    1.98,    1.94,    3.15,    1.87,    2.05
28,4:8:29:527,   20.58,    1.65,    2.05,    2.03,    3.11,    1.69,    1.92
29,4:8:29:627,   19.40,    2.00,    2.53,    2.02,    2.96,    2.56,    0.17
30,4:8:29:727,   20.14,    1.86,    2.10,    2.17,    2.44,    2.17,    0.07
31,4:8:29:827,   20.78,    2.14,    2.72,    2.20,    2.73,    2.13,    1.01
32,4:8:29:927,   21.67,    2.47,    2.36,    2.42,    2.21,    2.10,    1.87
33,4:8:30:030,   22.09,    2.61,    2.82,    2.52,    2.13,    2.27,    1.52
34,4:8:30:134,   26.72,    3.56,    3.55,    3.51,    2.72,    3.44,    3.31
35,4:8:30:238,   24.01,    2.86,    2.80,    2.63,    2.73,    2.83,    2.56
36,4:8:30:339,   21.41,    2.66,    3.11,    2.20,    2.64,    2.44,    1.03
