AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-17-2026_13-02-44,
Profile Duration:,60 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,13:2:44:226,   16.40,    1.21,    1.69,    0.85,    1.27,    0.87,    1.25
3,13:2:44:442,   15.18,    1.47,    1.46,    0.02,    1.61,    1.33,    0.02
4,13:2:44:549,   14.89,    1.54,    1.59,    0.02,    1.67,    0.76,    0.02
5,13:2:44:657,   15.40,    1.52,    1.58,    0.02,    1.63,    1.44,    0.02
6,13:2:44:758,   16.28,    1.53,    1.86,    1.11,    1.65,    1.29,    0.01
7,13:2:44:867,   14.99,    1.38,    1.68,    0.60,    1.52,    1.08,    0.02
8,13:2:44:976,   15.15,    1.32,    1.49,    0.01,    1.59,    1.43,    0.01
9,13:2:45:078,   14.51,    1.33,    1.73,    0.45,    1.54,    1.11,    0.07
10,13:2:45:184,   15.86,    1.36,    1.28,    1.27,    1.61,    1.13,    0.06
11,13:2:45:292,   18.50,    1.87,    1.70,    1.73,    1.70,    1.68,    0.83
12,13:2:45:400,   18.68,    1.95,    1.62,    1.41,    1.65,    1.49,    1.50
13,13:2:45:505,   21.49,    2.40,    1.87,    1.82,    2.06,    2.15,    1.72
14,13:2:45:613,   22.07,    2.55,    2.21,    2.10,    2.12,    2.13,    1.79
15,13:2:45:722,   21.06,    2.16,    2.15,    1.90,    2.01,    1.94,    1.56
16,13:2:45:828,   23.91,    2.89,    2.18,    2.69,    2.35,    2.96,    2.55
17,13:2:45:933,   26.93,    3.58,    2.74,    3.30,    2.93,    3.54,    3.25
18,13:2:46:041,   20.58,    2.27,    2.73,    1.86,    2.29,    2.15,    1.81
19,13:2:46:141,   15.75,    1.39,    2.48,    1.19,    1.65,    1.21,    0.09
20,13:2:46:242,   15.21,    1.51,    1.56,    0.41,    1.44,    1.21,    0.01
21,13:2:46:349,   16.16,    1.41,    1.78,    0.76,    1.66,    1.28,    0.03
22,13:2:46:459,   15.56,    1.54,    1.54,    0.55,    1.82,    1.31,    0.01
24,13:2:46:666,   14.86,    1.45,    1.60,    0.03,    1.75,    1.28,    0.02
25,13:2:46:774,   16.88,    1.66,    1.96,    0.61,    1.85,    1.39,    0.02
26,13:2:46:882,   16.12,    1.47,    1.80,    0.90,    1.65,    1.36,    0.05
27,13:2:46:991,   13.97,    1.23,    1.63,    0.02,    1.55,    1.30,    0.02
28,13:2:47:100,   12.97,    1.42,    1.40,    0.01,    1.41,    0.16,    0.02
29,13:2:47:208,   12.79,    1.23,    1.49,    0.03,    1.41,    0.51,    0.06
30,13:2:47:317,   13.55,    1.19,    1.21,    0.02,    1.17,    1.06,    0.03
31,13:2:47:425,   16.42,    1.75,    1.58,    0.11,    1.44,    1.63,    0.03
32,13:2:47:532,   14.91,    1.17,    1.71,    0.90,    2.05,    1.12,    0.02
33,13:2:47:636,   15.63,    1.16,    1.52,    0.96,    1.57,    1.16,    0.01
34,13:2:47:744,   15.08,    1.34,    1.61,    0.75,    1.48,    0.69,    0.03
35,13:2:47:853,   15.39,    1.55,    1.62,    0.02,    1.37,    1.15,    0.03
36,13:2:47:961,   15.95,    1.56,    1.53,    0.84,    1.87,    1.32,    0.02
37,13:2:48:068,   15.22,    1.36,    1.63,    0.72,    1.60,    0.87,    0.03
38,13:2:48:178,   14.50,    1.26,    1.54,    0.29,    1.56,    1.24,    0.06
39,13:2:48:278,   14.21,    1.19,    1.55,    0.86,    1.69,    1.22,    0.03
40,13:2:48:385,   17.06,    1.70,    1.37,    0.81,    1.46,    1.79,    0.03
41,13:2:48:493,   18.05,    1.66,    2.02,    1.48,    1.86,    1.57,    1.24
42,13:2:48:603,   15.78,    1.33,    1.35,    0.85,    1.31,    1.22,    0.98
43,13:2:48:710,   16.01,    1.39,    1.43,    1.28,    1.51,    1.17,    0.02
44,13:2:48:812,   16.68,    1.78,    1.90,    0.81,    2.00,    1.38,    0.01
45,13:2:48:921,   14.72,    1.46,    1.57,    0.03,    1.77,    1.37,    0.04
46,13:2:49:021,   13.89,    1.22,    1.72,    0.02,    1.67,    1.20,    0.02
