AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-18-2026_02-03-21,
Profile Duration:,120 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,2:3:21:118,   16.73,    1.43,    1.66,    1.16,    1.52,    1.30,    0.40
2,2:3:21:224,   16.73,    1.52,    1.58,    1.46,    1.69,    1.42,    0.02
3,2:3:21:333,   16.35,    1.57,    1.52,    1.52,    1.51,    1.40,    0.02
5,2:3:21:547,   17.47,    1.79,    1.71,    0.06,    1.85,    1.66,    0.20
6,2:3:21:648,   18.86,    1.62,    1.88,    1.27,    1.95,    1.39,    1.57
7,2:3:21:756,   17.12,    1.62,    1.57,    1.21,    1.50,    1.28,    1.38
8,2:3:21:864,   16.67,    1.37,    1.44,    1.20,    1.37,    1.22,    1.27
9,2:3:21:974,   16.95,    1.31,    1.50,    1.14,    1.49,    1.06,    1.42
10,2:3:22:074,   16.71,    1.54,    1.58,    1.11,    1.89,    1.49,    0.15
12,2:3:22:287,   16.43,    1.42,    1.54,    0.98,    1.51,    1.18,    0.78
13,2:3:22:395,   15.76,    1.51,    1.43,    1.12,    1.49,    1.34,    0.01
14,2:3:22:503,   16.09,    1.57,    1.58,    1.38,    1.62,    1.34,    0.01
15,2:3:22:610,   17.09,    1.50,    1.58,    1.36,    1.57,    1.40,    0.48
16,2:3:22:719,   17.93,    1.60,    1.53,    1.29,    1.76,    1.28,    1.41
17,2:3:22:828,   17.37,    1.61,    1.62,    1.05,    1.61,    1.40,    0.03
18,2:3:22:927,   17.17,    1.58,    1.64,    1.49,    2.13,    1.49,    0.01
19,2:3:23:036,   15.93,    1.46,    1.47,    1.29,    1.69,    1.27,    0.05
20,2:3:23:145,   16.52,    1.58,    1.53,    1.43,    1.51,    1.29,    0.01
21,2:3:23:254,   16.81,    1.54,    1.67,    1.49,    1.68,    1.41,    0.02
22,2:3:23:363,   17.49,    1.53,    1.55,    1.31,    1.33,    1.48,    0.71
23,2:3:23:472,   17.51,    1.49,    1.52,    1.49,    1.58,    1.28,    1.39
24,2:3:23:580,   17.39,    1.48,    1.56,    1.19,    1.67,    1.29,    1.40
25,2:3:23:687,   18.30,    1.55,    1.88,    1.34,    1.43,    1.51,    1.40
26,2:3:23:794,   16.86,    1.34,    1.45,    1.28,    1.62,    1.29,    1.41
