AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-16-2026_23-44-36,
Profile Duration:,60 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,23:44:36:240,   14.27,    1.07,    1.23,    0.88,    1.45,    0.97,    0.01
2,23:44:36:347,   13.48,    1.00,    1.04,    0.78,    1.39,    0.64,    0.07
3,23:44:36:454,   10.92,    0.74,    1.09,    0.19,    1.42,    0.03,    0.01
4,23:44:36:558,   16.23,    2.15,    2.23,    0.01,    2.00,    1.01,    0.01
5,23:44:36:668,   11.39,    0.74,    0.78,    0.03,    1.39,    0.70,    0.05
6,23:44:36:769,   12.61,    0.91,    1.45,    0.02,    1.60,    0.02,    0.01
7,23:44:36:869,   13.85,    1.48,    1.71,    0.01,    1.58,    0.48,    0.03
8,23:44:36:978,   15.80,    1.58,    1.80,    0.03,    1.63,    1.33,    0.02
9,23:44:37:084,   15.32,    1.45,    1.52,    0.01,    1.63,    1.19,    0.01
10,23:44:37:186,   15.37,    1.72,    1.75,    0.01,    2.00,    0.28,    0.01
11,23:44:37:288,   17.17,    1.58,    1.78,    1.20,    1.62,    1.72,    0.01
12,23:44:37:396,   19.27,    2.16,    2.38,    1.66,    1.75,    1.77,    0.86
13,23:44:37:496,   20.44,    1.96,    2.26,    1.80,    1.99,    2.16,    1.79
14,23:44:37:604,   20.03,    2.15,    2.06,    1.87,    1.79,    1.93,    0.97
15,23:44:37:704,   18.01,    1.65,    2.01,    1.33,    1.91,    1.43,    1.40
16,23:44:37:807,   13.72,    1.11,    1.30,    0.83,    1.14,    0.78,    0.02
18,23:44:38:017,   13.81,    1.14,    1.16,    0.01,    1.42,    1.17,    0.02
19,23:44:38:124,   12.97,    1.31,    1.42,    0.01,    1.29,    0.48,    0.01
20,23:44:38:234,   14.17,    1.16,    1.39,    0.02,    1.35,    1.04,    0.01
21,23:44:38:342,   12.71,    1.31,    1.56,    0.02,    1.28,    0.24,    0.01
23,23:44:38:557,   17.55,    2.11,    1.67,    0.82,    1.98,    1.57,    0.03
24,23:44:38:664,   19.79,    2.04,    2.08,    1.63,    1.75,    1.79,    1.21
25,23:44:38:770,   19.48,    1.92,    1.90,    1.28,    1.77,    1.68,    1.15
26,23:44:38:878,   19.27,    1.92,    1.84,    1.48,    1.67,    1.46,    1.38
27,23:44:38:982,   25.99,    3.33,    2.06,    3.28,    2.12,    3.27,    3.04
28,23:44:39:089,   16.60,    1.36,    3.18,    1.14,    2.54,    1.28,    0.50
29,23:44:39:197,   16.24,    1.45,    1.66,    1.24,    1.57,    1.25,    0.02
30,23:44:39:306,   16.41,    1.44,    1.64,    1.14,    1.52,    1.34,    0.02
31,23:44:39:414,   13.99,    1.01,    1.70,    0.82,    1.67,    1.00,    0.06
