AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,Jun-13-2026_23-07-56,
Profile Duration:,120 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,23:7:57:074,   17.45,    1.83,    2.09,    1.29,    2.14,    1.38,    1.55
2,23:7:57:178,   17.57,    2.12,    2.44,    0.77,    1.86,    1.77,    1.09
4,23:7:57:387,   23.43,    2.60,    2.82,    2.54,    2.79,    2.60,    2.40
5,23:7:57:495,   24.34,    2.91,    2.84,    2.79,    2.72,    2.95,    2.36
6,23:7:57:595,   24.20,    2.47,    2.99,    2.60,    2.77,    2.73,    2.06
7,23:7:57:700,   20.95,    2.49,    2.82,    2.11,    2.63,    2.34,    1.97
8,23:7:57:807,   24.48,    2.74,    2.76,    2.44,    2.96,    2.62,    2.41
9,23:7:57:908,   21.74,    2.12,    3.21,    1.81,    2.44,    1.90,    2.01
10,23:7:58:009,   25.43,    3.15,    2.61,    2.86,    3.02,    2.90,    2.85
11,23:7:58:110,   26.26,    3.32,    3.13,    3.10,    2.36,    3.10,    3.31
12,23:7:58:214,   26.11,    3.43,    3.02,    3.35,    2.94,    3.05,    3.03
13,23:7:58:318,   25.75,    2.93,    3.46,    2.69,    3.04,    2.70,    3.05
14,23:7:58:423,   25.49,    2.99,    3.08,    2.66,    3.13,    2.68,    2.88
15,23:7:58:526,   26.87,    3.26,    3.33,    2.95,    3.34,    3.03,    3.14
16,23:7:58:632,   27.24,    3.20,    3.15,    3.21,    3.27,    3.07,    3.01
17,23:7:58:734,   27.49,    3.34,    3.41,    3.23,    3.28,    3.18,    3.23
18,23:7:58:834,   26.89,    3.07,    3.40,    3.25,    3.31,    3.10,    3.07
19,23:7:58:936,   25.96,    3.06,    3.09,    3.25,    3.20,    3.18,    3.15
