AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-16-2026_23-22-35,
Profile Duration:,60 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,23:22:35:565,   16.32,    1.78,    1.80,    1.02,    1.61,    1.46,    0.01
2,23:22:35:673,   14.02,    1.31,    0.98,    0.70,    1.20,    1.50,    0.07
3,23:22:35:780,   14.23,    1.36,    1.29,    0.46,    1.34,    1.35,    0.01
4,23:22:35:888,   13.60,    0.98,    1.24,    0.82,    1.12,    1.08,    0.03
5,23:22:35:996,   14.02,    1.06,    1.31,    1.02,    1.18,    1.06,    0.01
6,23:22:36:098,   16.00,    1.54,    1.58,    0.72,    1.42,    1.35,    0.01
7,23:22:36:205,   13.23,    1.24,    1.34,    0.01,    1.17,    1.14,    0.01
8,23:22:36:313,   12.97,    1.16,    1.22,    0.01,    1.22,    1.28,    0.04
9,23:22:36:420,   16.93,    1.72,    2.20,    0.03,    2.07,    0.82,    0.02
10,23:22:36:527,   20.63,    2.39,    2.64,    1.41,    2.33,    2.36,    0.26
11,23:22:36:629,   16.60,    1.16,    1.48,    0.78,    1.57,    0.90,    1.22
12,23:22:36:731,   13.22,    1.23,    1.05,    0.29,    1.07,    1.08,    0.41
13,23:22:36:837,   12.63,    0.94,    1.16,    0.03,    1.22,    1.01,    0.02
14,23:22:36:945,   14.95,    1.36,    1.50,    0.02,    2.21,    0.86,    0.02
15,23:22:37:053,   15.42,    1.29,    1.42,    0.02,    1.97,    1.25,    0.02
16,23:22:37:160,   12.89,    1.16,    1.23,    0.01,    1.16,    1.08,    0.01
17,23:22:37:267,   12.57,    0.96,    1.21,    0.01,    1.07,    0.99,    0.02
