AMDPROFILER POWER PROFILE REPORT

AMDuProfCLI.exe Version 5.2.431.0,

PROFILE DETAILS
CPU Details:,Family(0x19) Model(0x44)
Sampling Interval:,100 milli-seconds
Profile Start Time:,May-18-2026_02-44-41,
Profile Duration:,120 seconds

PROFILED COUNTERS
COUNTER ID,NAME,CATEGORY,UNIT,DESCRIPTION
36.,socket0-package-power,Power,W,Socket0-Average Package Power reported in Watts.
38.,core0-power,Power,W,Core0-Average Power reported in Watts.
40.,core1-power,Power,W,Core1-Average Power reported in Watts.
42.,core2-power,Power,W,Core2-Average Power reported in Watts.
44.,core3-power,Power,W,Core3-Average Power reported in Watts.
46.,core4-power,Power,W,Core4-Average Power reported in Watts.
48.,core5-power,Power,W,Core5-Average Power reported in Watts.

PROFILE RECORDS
RecordId,Timestamp,socket0-package-power,core0-power,core1-power,core2-power,core3-power,core4-power,core5-power
1,2:44:41:139,   16.56,    1.64,    1.59,    1.46,    1.51,    1.42,    0.06
2,2:44:41:247,   15.06,    1.56,    1.59,    0.30,    1.48,    1.41,    0.01
3,2:44:41:355,   14.11,    1.38,    1.47,    0.01,    1.53,    1.30,    0.04
4,2:44:41:454,   14.34,    1.41,    1.60,    0.01,    1.41,    1.25,    0.01
5,2:44:41:554,   13.71,    1.24,    1.46,    0.04,    1.48,    1.32,    0.03
6,2:44:41:662,   14.79,    1.57,    1.65,    0.02,    1.60,    1.20,    0.02
7,2:44:41:769,   15.99,    1.71,    1.95,    0.29,    1.66,    1.69,    0.02
8,2:44:41:877,   20.02,    2.11,    2.35,    2.04,    1.87,    1.87,    0.47
9,2:44:41:979,   16.59,    1.42,    1.43,    1.05,    1.36,    1.31,    1.45
10,2:44:42:085,   13.95,    1.29,    1.47,    0.03,    1.41,    1.04,    0.03
11,2:44:42:193,   14.32,    1.46,    1.51,    0.01,    1.43,    1.31,    0.06
12,2:44:42:301,   14.01,    1.34,    1.54,    0.03,    1.51,    1.13,    0.01
14,2:44:42:508,   16.38,    1.74,    1.59,    0.67,    2.06,    1.37,    0.04
15,2:44:42:611,   16.25,    1.52,    1.89,    1.04,    1.78,    1.24,    0.01
16,2:44:42:721,   19.67,    2.33,    1.63,    2.18,    2.13,    2.20,    0.93
17,2:44:42:827,   16.22,    1.51,    2.15,    1.26,    1.49,    1.18,    1.25
18,2:44:42:934,   14.90,    1.25,    1.38,    0.88,    1.25,    1.19,    0.09
19,2:44:43:042,   12.88,    1.25,    1.35,    0.35,    1.27,    0.37,    0.02
20,2:44:43:150,   12.68,    1.21,    1.42,    0.01,    1.34,    0.37,    0.07
21,2:44:43:258,   11.94,    0.94,    1.15,    0.02,    0.94,    0.73,    0.01
22,2:44:43:359,   12.58,    0.95,    1.29,    0.01,    1.17,    0.88,    0.02
23,2:44:43:467,   11.36,    0.93,    1.09,    0.02,    1.02,    0.38,    0.01
24,2:44:43:572,   13.76,    1.50,    1.25,    0.02,    1.28,    0.80,    0.02
25,2:44:43:679,   11.32,    0.92,    1.35,    0.01,    1.36,    0.48,    0.02
26,2:44:43:781,   13.29,    1.33,    1.10,    0.03,    1.99,    0.35,    0.02
27,2:44:43:888,   14.23,    1.13,    1.80,    0.02,    1.44,    1.06,    0.01
28,2:44:43:997,   14.79,    1.44,    1.37,    0.01,    1.52,    1.40,    0.01
29,2:44:44:097,   13.14,    1.08,    1.55,    0.03,    1.35,    0.85,    0.01
30,2:44:44:205,   14.14,    1.40,    1.40,    0.01,    1.54,    1.15,    0.07
31,2:44:44:304,   13.50,    1.52,    1.39,    0.01,    1.54,    0.39,    0.01
32,2:44:44:410,   14.74,    1.59,    1.68,    0.03,    1.66,    0.63,    0.04
33,2:44:44:519,   14.72,    1.57,    1.93,    0.01,    1.76,    1.11,    0.01
34,2:44:44:622,   17.33,    2.53,    1.99,    0.01,    2.38,    1.33,    0.01
35,2:44:44:730,   18.22,    2.13,    2.53,    1.19,    2.24,    1.93,    0.01
36,2:44:44:830,   17.58,    1.87,    2.27,    0.84,    2.07,    1.68,    0.01
37,2:44:44:930,   16.08,    1.82,    2.35,    0.01,    1.83,    1.41,    0.05
38,2:44:45:039,   15.35,    1.58,    2.39,    0.01,    1.62,    1.36,    0.01
39,2:44:45:147,   15.52,    1.42,    2.25,    0.03,    2.48,    1.24,    0.08
40,2:44:45:256,   14.48,    1.54,    1.81,    0.01,    2.32,    0.31,    0.02
41,2:44:45:364,   14.70,    1.56,    1.87,    0.02,    1.79,    1.24,    0.01
42,2:44:45:468,   14.79,    1.34,    1.65,    1.08,    1.30,    1.22,    0.01
43,2:44:45:569,   16.38,    1.52,    1.63,    1.09,    1.71,    1.67,    0.01
44,2:44:45:677,   16.65,    1.86,    1.94,    0.01,    1.99,    1.69,    0.01
45,2:44:45:786,   18.58,    1.90,    2.51,    1.66,    1.97,    1.82,    0.04
46,2:44:45:886,   16.95,    1.98,    2.26,    0.78,    2.01,    1.76,    0.05
47,2:44:45:995,   16.66,    1.69,    2.22,    0.92,    1.99,    1.83,    0.02
48,2:44:46:104,   13.93,    1.13,    1.68,    0.77,    1.17,    1.10,    0.01
49,2:44:46:204,   12.69,    0.85,    1.33,    0.60,    0.91,    0.67,    0.99
50,2:44:46:304,   14.39,    1.15,    0.90,    0.77,    1.13,    0.77,    1.15
51,2:44:46:412,   12.36,    0.77,    1.03,    0.54,    0.86,    0.54,    0.69
53,2:44:46:629,   11.71,    1.03,    1.21,    0.05,    1.20,    0.80,    0.01
